Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"CIMU_ID";"LANGUE_ORIGINE";"H&S_Label";"URI_DBPEDIA";
;;;;;;;;"111.242.12 (Individual) suspended bells";;"LEXICON_00000030";"NT";"Hornbostel - Sachs";"Standard";"Individual percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The vibration is weakest near the apex from which the instrument is suspended. The player creates clearly defined individual strokes.";"";"";"";"0";"111.242.12";"";"(Individual) suspended bells";;
;;;;;;;;;"111.242.121 (Individual) suspended bells struck from the outside";"LEXICON_00000031";"NT";"Hornbostel - Sachs";"Standard";"Individual percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The vibration is weakest near the apex from which the instrument is suspended. The bell has no internal striker; the player creates clearly defined individual strokes on its external surface, using a separate beater.";"";"";"LEXICON_00002384;LEXICON_00006796;LEXICON_00002390";"15";"111.242.121";"";"(Individual) suspended bells struck from the outside";;
;;;;;;;;;"111.242.122 (Individual) clapper bells";"LEXICON_00000032";"NT";"Hornbostel - Sachs";"Standard";"Individual percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects. The vibration is weakest near the apex from which the instrument is suspended. The player creates clearly defined individual strokes using the striker (clapper) attached inside the bell.";"";"";"LEXICON_00002376;LEXICON_00002395;LEXICON_00002396;LEXICON_00002397;LEXICON_00006651;LEXICON_00002407;LEXICON_00006122;LEXICON_00005508;LEXICON_00006666;LEXICON_00002687;LEXICON_00008374;LEXICON_00005387;LEXICON_00005503;LEXICON_00002419";"70";"111.242.122";"";"(Individual) clapper bells";;
;;;;;;;;;"111.242.123 (Individual) bells with attached external clapper/s";"LEXICON_00000033";"NT";"Hornbostel - Sachs";"Standard";"Individual percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects. The vibration is weakest near the apex from which the instrument is suspended. The player creates clearly defined individual strokes on the exterior surface of the bell, using an attached external striker (clapper).";"";"";"";"0";"111.242.123";"";"(Individual) bells with attached external clapper/s";;
;;;;;;;"111.242.2 Sets of bells";;;"LEXICON_00000034";"NT";"Hornbostel - Sachs";"Standard";"Sets of percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The vibration is weakest near the vertex of the struck surface. The player creates clearly defined individual strokes. [chimes].";"";"";"";"0";"111.242.2";"";"Sets of bells";;
;;;;;;;;"111.242.21 (Sets of) resting bells";;"LEXICON_00005533";"NT";"Hornbostel - Sachs";"Standard";"Sets of percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The cup of each bell is placed on the palm of the hand or on a cushion; its mouth faces upwards. The vibration is weakest near the crown. The player creates clearly defined individual strokes. China, Japan.";"";"";"LEXICON_00002377;LEXICON_00008346";"6";"111.242.21";"";"(Sets of) resting bells";;
;;;;;;;;"111.242.22 (Sets of) suspended bells";;"LEXICON_00005534";"NT";"Hornbostel - Sachs";"Standard";"Sets of individual percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The vibration is weakest near the apex from which each instrument is suspended. The player creates clearly defined individual strokes.";"";"";"";"0";"111.242.22";"";"(Sets of) suspended bells";;
;;;;;;;;;"111.242.221 (Sets of) suspended bells struck from the outside";"LEXICON_00005535";"NT";"Hornbostel - Sachs";"Standard";"Sets of percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The vibration is weakest near the apex from which each instrument is suspended. The bells have no internal strikers; the player creates clearly defined individual strokes on their exterior surfaces, using external beaters.";"";"";"LEXICON_00002381";"0";"111.242.221";"";"(Sets of) suspended bells struck from the outside";;
;;;;;;;;;"111.242.222 (Sets of) clapper bells";"LEXICON_00005536";"NT";"Hornbostel - Sachs";"Standard";"Sets of percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker). The vibration is weakest near the apex from which each instrument is suspended. The player creates clearly defined individual strokes using the strikers (clappers) attached inside the bells.";"";"";"LEXICON_00002372;LEXICON_00004660;LEXICON_00006268;LEXICON_00008318;LEXICON_00002877;LEXICON_00006364";"114";"111.242.222";"";"(Sets of) clapper bells";;
;;;;;;;;;"111.242.223 (Sets of) bells with attached external clappers";"LEXICON_00005537";"NT";"Hornbostel - Sachs";"Standard";"Sets of percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker). The vibration is weakest near the apex from which each instrument is suspended. The player creates clearly defined individual strokes on the exterior surfaces of the bells, using attached external strikers (clappers).";"";"";"";"0";"111.242.223";"";"(Sets of) bells with attached external clappers";;
;;;;;;"111.243 Slit drums";;;;"LEXICON_00000035";"NT";"Hornbostel - Sachs";"Standard";"Wooden percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with a non-sonorous object (hand, stick, striker) or against non-sonorous objects. The vessels have a longitudinal slit. The player creates clearly defined individual strokes on the external surface of the instrument.";"";"";"LEXICON_00002498;LEXICON_00002595;LEXICON_00006294;LEXICON_00002656;LEXICON_00008301;LEXICON_00002688;LEXICON_00002768;LEXICON_00004589;LEXICON_00006331;LEXICON_00005700";"129";"111.243";"";"Slit drums";;
;;;;;;"111.244 Percussion troughs";;;;"LEXICON_00000036";"NT";"Hornbostel - Sachs";"Standard";"Wooden percussion vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The instruments have a wide longitudinal mouth. The player creates clearly defined individual strokes on the external surface of the instrument. Some forms of ‘slit drum’ such as Fijian lali where the whole ‘mouth’ is open.";"";"";"";"0";"111.244";"";"Percussion troughs";;
;;;;;"111.25 Percussion boulders";;;;;"LEXICON_00000037";"NT";"Hornbostel - Sachs";"Standard";"Sonorous boulders, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The player creates clearly defined individual strokes. Rock gongs.";"";"";"";"0";"111.25";"";"Percussion boulders";;
;;;"112 Indirectly struck idiophones";;;;;;;"LEXICON_00000038";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and may radiate sound without requiring stretched membranes or strings. The instrument is made to vibrate by being struck. The player does not go through the movement of striking; percussion results indirectly through some other movement by the player. The intention is to yield clusters of sounds or noises, and not to let individual strokes be perceived.";"";"";"";"0";"112";"";"Indirectly struck idiophones";;
;;;;"112.1 Shaken idiophones or rattles";;;;;;"LEXICON_00000039";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. Percussion results indirectly through a shaking movement executed by the player. The intention is to yield clusters of sounds or noises, and not to let individual strokes be perceived.";"";"";"LEXICON_00006281;LEXICON_00006142;LEXICON_00003036;LEXICON_00008397";"1763";"112.1";"";"Shaken idiophones or rattles";;
;;;;;"112.11 Suspension rattles";;;;;"LEXICON_00000040";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. Percussion results indirectly through a shaking movement executed by the player. Perforated idiophones are mounted together, and shaken to strike against each other. The intention is to yield clusters of sounds or noises, and not to let individual strokes be perceived.";"";"";"";"0";"112.11";"";"Suspension rattles";;
;;;;;;"112.111 Strung rattles";;;;"LEXICON_00000041";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. Percussion results indirectly through a shaking movement executed by the player. Rattling objects are strung in rows on a cord. The intention is to yield clusters of sounds or noises, and not to let individual strokes be perceived. Necklaces with rows of shells.";"";"";"LEXICON_00006266;LEXICON_00003019;LEXICON_00003022;LEXICON_00008326;LEXICON_00003034;LEXICON_00006993";"29";"112.111";"";"Strung rattles";;
;;;;;;"112.112 Stick rattles";;;;"LEXICON_00000042";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. Percussion results indirectly through a shaking movement executed by the player. Rattling objects are strung on a bar (or ring). The intention is to yield clusters of sounds or noises, and not to let individual strokes be perceived. Sistrum with rings.";"";"";"LEXICON_00003015;LEXICON_00004772;LEXICON_00005218;LEXICON_00006798;LEXICON_00004693;LEXICON_00003046";"23";"112.112";"";"Stick rattles";;
;;;;;"112.12 Frame rattles";;;;;"LEXICON_00000043";"NT";"Hornbostel - Sachs";"Standard";"The substance of the instrument itself, owing to its solidity and elasticity, vibrates and radiates sound when struck. Percussion results indirectly through a shaking movement executed by the player. Rattling objects are attached to a carrier against which they strike. The intention is to yield clusters of sounds or noises, and not to let individual strokes be perceived.";"";"";"LEXICON_00002872;LEXICON_00005249;LEXICON_00003038";"2";"112.12";"";"Frame rattles";;
