Identifier;Level_1;Level_2;Level_3;Synonyms;YOUR LANGUAGE;Synonyms (YOUR LANGUAGE) ;H&S link;Nb of instruments;Définition;Original language;URI_DBPEDIA
LEXICON_00003396;;;Mamokhorong;;;;;1;"[sekhankula] Single-string fiddle from southern Africa, mainly among Sotho people; it has a tin can resonator";;
LEXICON_00003188;;;Masenqo;"Masinko;Masinqo;Massaneqo";;;LEXICON_00006468;27;Single-stringed spike fiddle from Ethiopia with a rhombus shaped resonator;;
LEXICON_00005759;;;Morin khuur;Morin huur;;;LEXICON_00006468;4;"Fiddle (khuur) with horse head from Mongolia; two strings and trapezoid soundbox";;
LEXICON_00005008;;;Nisen;;;;LEXICON_00006710;1;;;
LEXICON_00003193;;;Nyckelharpa;;;;LEXICON_00000206;83;"Keyed fiddle from Scandinavia and northern Germany, with melody strings, bourdon strings and sympathetic strings; it plays an important role in Swedish folk music";;
LEXICON_00003194;;;One-string fiddle;Monochord fiddle;;;LEXICON_00006473;6;;;
LEXICON_00003412;;;Pi-bang;;;;LEXICON_00006470;0;;;
LEXICON_00003195;;;Qobuz;"Kiak;Kobuz";;;LEXICON_00006470;1;"Two-stringed fiddle of the Karakalpak, Kazakh and Kirghiz people of Central Asia; resonator is a deeply carved out ladle, the bottom half is covered with skin";;
LEXICON_00003198;;;Rabab;Rebab;;;"LEXICON_00000200;LEXICON_00006468";8;"A term for various chordophones, both fiddles and lutes; within the Formalized Fiddle it may refer to the Javanese rabab, the Arabic box spike fiddle, and the north African rabab";;
LEXICON_00003506;;;Rababa;"Booga;Rebaba";;;"LEXICON_00000200;LEXICON_00000201";12;"Spike fiddle from the Arab world; may refer to both the spike bowl fiddle and the quadrangular spike fiddle";;
LEXICON_00003200;;;Ravanhattha;Ravanhatha;;;LEXICON_00006466;4;"Spike fiddle from Rajasthan and Gujarat, north-west India; the resonator consists of half a coconut shell; there are simple forms with only two strings, and more complex ones which have sympathetic strings as well and are decorated with tassles and fabric, the bow may be decorated with bells";;
LEXICON_00003202;;;Rebec;;;;LEXICON_00006470;25;;;
LEXICON_00003203;;;Ruudga;;;;LEXICON_00000200;2;"One-string spike fiddle with gourd resonator of the Moosé in Burkina Faso; noteable performer Nouss Nabil";;
LEXICON_00003204;;;Sarangi;"Harangi;Sarang";;;LEXICON_00006470;61;"Hindustani classical sarangi: short-necked fiddle, soundbox is made from one piece of wood, covered with skin; membrane is waisted; it has three playing strings and (many) sympathetic strings. Nepali sarangi: small short-necked fiddle made from one piece of wood; the lower part of the soundbox is covered with skin, the upper part is open; it typically has 4 strings; not to be confused with sarinda (see below)";;
LEXICON_00003207;;;Sarinda;"Qeychak;Sorud;Soruz";;;LEXICON_00006470;19;"Short-necked bowl fiddle from South Asia; resonator is rounded and deeply waisted, the lower part is covered with skin, while the upper part is open and has the shape of an umbrella";;
LEXICON_00006841;;;Segankuru;;;;;0;One-string fiddle with tin can resonator at the top end of the Tswana and Xhoisan people from Botswana;;
LEXICON_00003211;;;Sihu;"Sichu;Ssu-hu;Sze hou hsien";;;LEXICON_00006710;17;Four-string fiddle of the Han Chinese (si = four);;
LEXICON_00003214;;;So duang;"Saw duang;Saw-dorang";;;LEXICON_00006710;26;Two-stringed spike tube fiddle of Thailand, resembling the Chinese erhu;;
LEXICON_00006840;;;So i;;;;LEXICON_00000202;0;Two-string fiddle of Laos, with a jackwood or bamboo soundbox;;
LEXICON_00003216;;;So sam sai;Saw-tai;;;LEXICON_00006466;2;"Three-stringed spike fiddle of Thailand, resembling the Javanese rebab; resonator is coconut shell with three bulges on the back, covered with skin";;
LEXICON_00003218;;;So u;"Saw oo;Saw u";;;LEXICON_00006466;9;Two-string fiddle of Thailand, with a coconut resonator with a carved out back and skin soundtable;;
LEXICON_00006839;;;Soussi ribab;;;;LEXICON_00000201;0;"Single-string fiddle of the Berbers of southern Morocco, with a round soundbox covered with skin; the peg is inserted laterally and the string runs in an angle over the soundboard";;
LEXICON_00006838;;;Speles;;;;;0;"Single-string fiddle from Latvia, with a bladder resonator; it is played vertically";;
LEXICON_00006678;;;Spike fiddle;;;;LEXICON_00000200;20;;;
LEXICON_00006837;;;Taratibu;;;;LEXICON_00000202;0;Single-string tube fiddle of the Hima in Rwanda and northeastern DR Congo;;
LEXICON_00005388;;;Tarawangsa;;;;LEXICON_00000206;4;Fiddle used by the Sundanese and Badui people in West Java, with a trapezoidal resonator. Often has a carved-out pegbox ;;
LEXICON_00006836;;;Tarhu;;;;;0;"Newly developed spike fiddle, created by Peter Biffin; there are several types; the instrument resembles a kamanche";;
LEXICON_00004891;;;Ta'us;;;;LEXICON_00006470;8;"Urdu name for the long-necked fretted peacock fiddle in India and Pakistan; in northern India it is known as mayuri";;
LEXICON_00006835;;;Tautirut;;;;;0;Three-stringed box fiddle of the Inuit people;;
LEXICON_00003220;;;Träskofiol;;;;LEXICON_00006470;16;;Swedish;
LEXICON_00005389;;;Tro u;;;;LEXICON_00006466;1;;;
LEXICON_00003221;;;Umkiki;;;;LEXICON_00006466;1;Single-string spike fiddle of the Baggara people of Sudan;;
LEXICON_00006834;;;Wandidi;;;;;0;Spike tube fiddle of the Kikuyu people in Kenya;;
LEXICON_00003222;;;Yehu;Jehu;;;LEXICON_00006466;5;"Two-string fiddle of the Han Chinese; resonator is coconut, covered with wooden soundboard; bridge is usually a sea-shell; resembles banhu but pegs are dorsally inserted";;
LEXICON_00006833;;;Zeze;;;;;0;General term for fiddle in Central and Eastern Africa;;
LEXICON_00003223;;;Zhonghu;;;;LEXICON_00000202;2;"Two-string Chinese fiddle; a 'middle' erhu with an alto range";;
LEXICON_00006832;;;Zlobcoki;;;;LEXICON_00005660;0;Small fiddle from the Tatra mountains in Poland;;
LEXICON_00003224;;Guitars;;;;;;0;;;
LEXICON_00006116;;;Alto guitar;;;;LEXICON_00000206;1;;;
LEXICON_00003225;;;Arpi-guitare;;;;;1;;French;
LEXICON_00003226;;;Banjo;Banza;;;"LEXICON_00000201;LEXICON_00006467";77;;;
LEXICON_00003228;;;Banjo-mandolin;;;;"LEXICON_00000201;LEXICON_00006467";6;;;
LEXICON_00003229;;;Banjulele;;;;;0;;;
LEXICON_00003230;;;Bass guitar;;;;;31;;;
LEXICON_00003231;;;Bissex;;;;;3;;;
LEXICON_00004742;;;Braguinho;;;;LEXICON_00000206;2;;;
LEXICON_00004743;;;Cavaco;;;;LEXICON_00000205;4;;;
LEXICON_00003232;;;Cavaquinho;;;;LEXICON_00000206;3;;;
LEXICON_00003233;;;Chitarra battente;;;;;23;;;
LEXICON_00004927;;;Cuatro;;;;LEXICON_00000206;1;;;
LEXICON_00006064;;;Decacord;;;;;4;;;
LEXICON_00003234;;;Dobro;;;;LEXICON_00000206;0;;;
LEXICON_00006536;;;Double guitar;;;;LEXICON_00000206;1;;;
LEXICON_00003235;;;Electric bass guitar;;;;LEXICON_00006158;12;;;
LEXICON_00003236;;;Electric guitar;;;;LEXICON_00006158;82;;;
LEXICON_00003237;;;Guitar;Violao;;;"LEXICON_00000206;LEXICON_00006471";635;;;
LEXICON_00006117;;;Guitar mandolin;;;;LEXICON_00000206;2;;;
LEXICON_00003238;;;Guitarron;;;;LEXICON_00000206;3;;;
LEXICON_00003239;;;Harp-guitar;;;;LEXICON_00006471;10;;;
LEXICON_00003241;;;Harp-lyre;;;;;2;;;
LEXICON_00003242;;;Hawaiian guitar;Steel guitar;;;LEXICON_00000206;6;;;
LEXICON_00003244;;;Jarana;;;;LEXICON_00000200;3;;;
LEXICON_00003245;;;Lute-guitar;;;;LEXICON_00006471;22;;;
LEXICON_00003247;;;Lyre guitar;;;;;64;;;
LEXICON_00003248;;;Machete;;;;LEXICON_00006471;3;;;
LEXICON_00003249;;;Portuguese guitar;;;;LEXICON_00006471;2;;;
LEXICON_00004616;;;Requinto;;;;LEXICON_00000206;6;;;
LEXICON_00005727;;;Terz guitar;;;;LEXICON_00006471;2;;;
LEXICON_00003250;;;Ukulele;Ukelele;;;LEXICON_00006471;9;;;
LEXICON_00003252;;;Vihuela;;;;;5;;;
LEXICON_00004833;;;Viola d'arame;Viola de arame;;;LEXICON_00000205;2;;;
LEXICON_00005390;;;Viola de cocho;;;;;0;;;
LEXICON_00003254;;Harp-lutes / Koras;;;;;;0;;;
LEXICON_00003262;;;Donsonkoni;"Donsongoni;Dunsukoni";;;;0;;;
LEXICON_00003255;;;Harp-lute;Har-lute;;;LEXICON_00006469;35;;;
LEXICON_00003257;;;Kasso;;;;LEXICON_00005681;5;;;
LEXICON_00003258;;;Kora;Cora;;;LEXICON_00005681;18;;;
LEXICON_00003260;;;Kori;;;;LEXICON_00005680;3;;;
LEXICON_00003300;;;Sarong;;;;LEXICON_00005681;1;;;
LEXICON_00005350;;;Seperewa;;;;;1;;;
LEXICON_00003303;;;Simbing;;;;LEXICON_00005680;1;;;
LEXICON_00003261;;;Soron;;;;;0;;;
LEXICON_00003265;;Harps;;;;;;0;;;
LEXICON_00003266;;;Arched harp;;;;LEXICON_00005665;91;;;
LEXICON_00003267;;;Ardin;;;;LEXICON_00005666;0;;;
LEXICON_00003268;;;Bolo bogo;;;;;0;;;
LEXICON_00003269;;;Bolon;"Bolombata;Bolombato;Bolumbata";;;;0;;;
LEXICON_00005163;;;C'angi;;;;LEXICON_00005666;0;;;
LEXICON_00003273;;;Chang;;;;;0;;;
LEXICON_00003274;;;Chromatic harp;;;;LEXICON_00005662;19;;;
LEXICON_00003275;;;Clarsach;;;;LEXICON_00006477;1;;;
LEXICON_00003276;;;Diatonic harp;;;;;10;;;
LEXICON_00003277;;;Dital harp;;;;LEXICON_00006469;11;;;
LEXICON_00003278;;;Domo;Domu;;;;0;;;
LEXICON_00003280;;;Ennanga;"Adungu;Opuk agoya";;;LEXICON_00005667;1;;;
LEXICON_00003283;;;Ground harp;Ground bow;;;;0;;;
LEXICON_00003285;;;Harp;Pedal harp;;;"LEXICON_00005660;LEXICON_00006478";516;;;
LEXICON_00004936;;;Hook harp;;;;LEXICON_00005673;16;;;
LEXICON_00003286;;;Irish harp;;;;LEXICON_00006477;4;;;
LEXICON_00006807;;;Kin;;;;LEXICON_00005671;0;;;
LEXICON_00003288;;;Kinde;;;;LEXICON_00005668;0;;;
LEXICON_00003289;;;Kundi;"Kondi;Kondo;Nanga";;;LEXICON_00005668;17;;;
LEXICON_00003293;;;Kwarnda;;;;;1;;Ouldeme;
LEXICON_00003294;;;Nedomu;Nedumu;;;LEXICON_00005668;3;;;
LEXICON_00003296;;;Ngombi;Wambi;;;LEXICON_00005665;14;;;
LEXICON_00003298;;;Ombi;;;;LEXICON_00005670;6;;;
LEXICON_00003299;;;Para;;;;LEXICON_00005670;2;;;
LEXICON_00003301;;;Saung-gauk;"Saung;Soung";;;LEXICON_00005665;8;;;
LEXICON_00005856;;;Spike harp;;;;LEXICON_00005663;11;;;
LEXICON_00005392;;;Waji;;;;;4;;;
LEXICON_00005393;;;Wa-konghu;;;;;2;;;
LEXICON_00003304;;Hurdy-gurdies;;;;;;0;;;
LEXICON_00003305;;;Hurdy-gurdy;Ghironda;;;;179;;;
LEXICON_00003308;;;Lira organizzata;;;;;7;;;
LEXICON_00003309;;;Organistrum;;;;;0;;;
LEXICON_00003310;;;Orpheon;;;;LEXICON_00000193;1;;French;
LEXICON_00003311;;;Sanfona;Zanfona;;;;0;;;
LEXICON_00004745;;;Tekerö;Tekero;;;;2;;;
LEXICON_00003313;;Lutes;;;;;"LEXICON_00000193;LEXICON_00000205";0;;;
LEXICON_00003314;;;Angel lute;Angelica;;;LEXICON_00000205;5;;;
LEXICON_00005144;;;Arbajo;;;;LEXICON_00000205;0;;;
LEXICON_00003316;;;Archlute;;;;LEXICON_00006469;29;;;
LEXICON_00003317;;;Baglama;Baglamas;;;LEXICON_00000205;4;;;
LEXICON_00003318;;;Balalaika;;;;LEXICON_00000205;22;;;
LEXICON_00004576;;;Bandola;;;;LEXICON_00000206;4;;;
LEXICON_00003319;;;Bandora;Pandora;;;;10;;;
LEXICON_00003322;;;Bandurria;Mandurria;;;LEXICON_00000206;36;;;
LEXICON_00003324;;;Bengala;;;;LEXICON_00000198;1;;;
LEXICON_00006264;;;Bharata vina;;;;LEXICON_00000205;2;;;
LEXICON_00004850;;;Bin sitar;;;;LEXICON_00000164;1;;;
LEXICON_00003325;;;Biwa;"Biwang;Chikuzenbiwa;Gakubiwa;Satsumabiwa";;;LEXICON_00000205;15;;;
LEXICON_00003329;;;Bouzouki;;;;LEXICON_00000205;3;;;
LEXICON_00004753;;;Bugarija;Bougarïa;;;LEXICON_00000205;1;;;
LEXICON_00003330;;;Buzuq;;;;;0;;;
LEXICON_00003331;;;Capi;;;;;1;;;
LEXICON_00003332;;;Charango;;;;LEXICON_00006469;22;;;
LEXICON_00003333;;;Chogur;Chungur;;;LEXICON_00000205;1;;;
LEXICON_00004924;;;Cifteli;Ciftele;;;LEXICON_00000205;2;;;
LEXICON_00005178;;;Cinna vina;;;;LEXICON_00000205;0;;;
LEXICON_00003335;;;Citole;;;;;0;;;
LEXICON_00003336;;;Cobza;;;;;6;;;
LEXICON_00003337;;;Colascione;;;;LEXICON_00000205;18;;;
LEXICON_00005179;;;C'onguri;;;;LEXICON_00000205;0;;;
LEXICON_00003338;;;Cumbus;;;;;0;;;
LEXICON_00005180;;;Cura;;;;LEXICON_00000205;1;;;
LEXICON_00004755;;;Dala-fandir;"Fandïr;Fandyr";;;LEXICON_00000206;2;;;
LEXICON_00006265;;;Dambura;;;;LEXICON_00000205;4;;;
LEXICON_00003340;;;Dan day;"Cai dan nha tro;Dan nha tro";;;LEXICON_00000206;6;;;
LEXICON_00003343;;;Dan nguyet;"Cai dan nguyet;Dan kim;Dan kin";;;LEXICON_00000193;5;;;
LEXICON_00003347;;;Dan tam;Tam huyen;;;LEXICON_00000201;4;;;
LEXICON_00003349;;;Dan tinh;;;;LEXICON_00000200;2;;;
LEXICON_00003350;;;Dan ty ba;Cai dan ti;;;LEXICON_00000205;4;;;
LEXICON_00003352;;;Dan xen;;;;;0;;;
LEXICON_00003353;;;Dombra;Dumbrak;;;;2;;;
LEXICON_00006715;;;Domra;;;;;5;;;
LEXICON_00003355;;;Dotara;"Duitara;Dutara";;;LEXICON_00000205;6;;;
LEXICON_00003358;;;Dutar;Dotar;;;LEXICON_00000205;12;;;
LEXICON_00003360;;;Ekonting;Akonting;;;LEXICON_00000200;2;;;
LEXICON_00003362;;;Ektara;Ektar;;;LEXICON_00000200;18;;;
LEXICON_00004933;;;Gabbus;;;;LEXICON_00000205;1;;;
LEXICON_00003363;;;Gambus;;;;LEXICON_00000205;6;;;
LEXICON_00003364;;;Gekkin;;;;LEXICON_00000206;5;;;
LEXICON_00004996;;;Genkwan;;;;;2;;;
LEXICON_00003365;;;Gittern;;;;;0;;;
LEXICON_00003366;;;Gottuvadyam;Gottuvadhyam;;;;0;;;
LEXICON_00003368;;;Guinbri;"Genbri;Guembri;Guenbri;Gunibry";;;LEXICON_00005621;74;;;
LEXICON_00003373;;;Hajhuj;Hajhouj;;;LEXICON_00005621;2;;;
LEXICON_00005229;;;Hasapi;Hapetan;;;LEXICON_00000206;19;;;
LEXICON_00003375;;;Hoddu;;;;;0;;;
LEXICON_00005232;;;Husapi;;;;;0;;;
LEXICON_00005233;;;Hyang-pip'a;;;;;0;;;
LEXICON_00004617;;;Iguana;;;;LEXICON_00000206;2;;;
LEXICON_00006801;;;Jungga;;;;LEXICON_00000204;2;;;
LEXICON_00004757;;;Kabak;;;;;2;;;
LEXICON_00003376;;;Kaburu;;;;LEXICON_00000200;1;;;
LEXICON_00006298;;;Kaca vina;;;;LEXICON_00000205;0;;;
LEXICON_00006036;;;Kacapi;;;;LEXICON_00000206;1;;;
LEXICON_00003380;;;Kacchapi vina;;;;LEXICON_00000205;2;;;
LEXICON_00006299;;;Kachva sitar;Kacchapi vina;;;LEXICON_00000205;5;;;
LEXICON_00003377;;;Kambre;Cambreh;;;LEXICON_00005621;4;;;
LEXICON_00005004;;;Kao tari;;;;;1;;;
LEXICON_00003379;;;Kara;;;;LEXICON_00005621;0;;;
LEXICON_00004758;;;Karaduzen;"Karadouzin;Karduzen";;;LEXICON_00000205;2;;;
LEXICON_00003381;;;Keleli;;;;;0;;;
LEXICON_00003382;;;Khalam;Xalam;;;LEXICON_00005621;7;;;
LEXICON_00003384;;;Komuz;;;;;1;;;
LEXICON_00003385;;;Konting;;;;LEXICON_00002159;5;;;
LEXICON_00003386;;;Kopuz;Qopuz;;;;0;;;
LEXICON_00003388;;;Krajappi;"Chapee;Kra-chapee";;;LEXICON_00000198;3;;Thai;
LEXICON_00005269;;;Kubangu;Kuban;;;LEXICON_00000200;0;;;
LEXICON_00005428;;;Kudlung;Kudlongan;;;LEXICON_00000206;3;;;
LEXICON_00005430;;;Kudyapik;Kudyapi;;;;0;;;
LEXICON_00005276;;;Kulpaci;;;;LEXICON_00000205;0;;;
LEXICON_00005431;;;Kusyapik;Kusyapi;;;;0;;;
LEXICON_00005484;;;Lavta;;;;;0;;;
LEXICON_00005281;;;Llg'ase;Llg'gase;;;LEXICON_00000194;3;;;
LEXICON_00005283;;;Lunko;;;;LEXICON_00000194;0;;;
LEXICON_00003391;;;Lutar;"Lotar;Lothar";;;LEXICON_00000205;7;;;
LEXICON_00003394;;;Lute;;;;LEXICON_00006469;769;;;
LEXICON_00003395;;;Lyre-bandurria;;;;LEXICON_00000206;3;;;
LEXICON_00003397;;;Mandole;;;;;19;;;
LEXICON_00003398;;;Mandolone;;;;LEXICON_00000205;12;;;
LEXICON_00003399;;;Mandora;"Calichon;Gallichon";;;LEXICON_00000205;19;;;
LEXICON_00003402;;;Molo;;;;LEXICON_00000205;3;;;
LEXICON_00004882;;;Nadecvara-vina;;;;LEXICON_00000206;2;;;
LEXICON_00003403;;;Nanduni;;;;;0;;;
LEXICON_00005656;;;Ngonfi;Ngomfi;;;LEXICON_00000205;1;;;
LEXICON_00003404;;;Nkoni;Ngoni;;;LEXICON_00002159;3;;;
LEXICON_00005303;;;Ntja'ntuba;;;;LEXICON_00000194;1;;;
LEXICON_00003406;;;Orpharion;Orpheoreon;;;;4;;;
LEXICON_00003408;;;Pandoura;;;;;1;;Greek;
LEXICON_00003409;;;Panduri;"P'anduri;Phanduri";;;;0;;;
LEXICON_00006716;;;Panôtar;;;;;0;;;
LEXICON_00003411;;;Penorcon;;;;;1;;;
LEXICON_00003413;;;Pipa;Pepa;;;LEXICON_00000205;31;;;
LEXICON_00005321;;;Piyapi;Pyapi;;;LEXICON_00000206;0;;;
LEXICON_00005855;;;Prasarani vina;;;;LEXICON_00000206;1;;;
LEXICON_00003415;;;Qanbus;"Kabosa;Kabosy;Qabus";;;LEXICON_00000205;1;;;
LEXICON_00006524;;;Qinqin;;;;LEXICON_00000201;2;;;
LEXICON_00005330;;;Quatro;;;;LEXICON_00000206;0;;;
LEXICON_00003421;;;Quwaytara;"Kawaitara;Kouitara;Kuitra;Kuwaytara;Kuwithra;Kuwitra;Kwitra";;;LEXICON_00000205;11;;;
LEXICON_00003429;;;Rabab;"Rebab;Rebâb;Ribab;Rubab";;;LEXICON_00000205;23;;;
LEXICON_00003433;;;Rabel;;;;;2;;;
LEXICON_00003434;;;Ruan;Ruanxiang;;;;1;;;
LEXICON_00005640;;;Sangen;;;;LEXICON_00000201;1;;;
LEXICON_00003435;;;Sanshin;;;;LEXICON_00000201;10;;;
LEXICON_00003436;;;Sanxian;"San hsien;San-heen;San-hsiän;Sansiän";;;LEXICON_00000201;55;;;
LEXICON_00005344;;;Sapeh;;;;LEXICON_00000204;6;;;
LEXICON_00003439;;;Saradiya vina;;;;;2;;;
LEXICON_00003440;;;Sarasvati vina;;;;;5;;;
LEXICON_00004761;;;Sargija;_argija;;;LEXICON_00000205;1;;;
LEXICON_00005486;;;Sarki;;;;;0;;;
LEXICON_00003441;;;Sarod;Saroda;;;LEXICON_00000205;8;;;
LEXICON_00003443;;;Saz;Sas;;;LEXICON_00000205;28;;;
LEXICON_00003444;;;Setar;"Saitar;Sehtar;Seta;Setor;Sihtar";;;LEXICON_00006469;9;;;
LEXICON_00005488;;;Setar e rebab;;;;LEXICON_00000205;0;;;
LEXICON_00003450;;;Sgra-snyan;Sgra-snyga;;;LEXICON_00000205;16;;;
LEXICON_00003451;;;Shamisen;"Samisen;Schamisen;Siamisen";;;LEXICON_00000201;38;;;
LEXICON_00004965;;;Sharki;;;;;1;;;
LEXICON_00003454;;;Shuangqing;Shuang-kin;;;;2;;;
LEXICON_00003456;;;Sitar;;;;LEXICON_00000205;42;;;
LEXICON_00003457;;;Sitari;;;;LEXICON_00000193;1;;;
LEXICON_00003458;;;Sixian;Yizu sixian;;;;2;;;
LEXICON_00003460;;;Surbahar;;;;LEXICON_00000205;5;;;
LEXICON_00005364;;;Surmanjali;;;;LEXICON_00000205;2;;;
LEXICON_00004889;;;Sur-sanga;Sursanga;;;LEXICON_00000205;3;;;
LEXICON_00004890;;;Sursrngar;;;;LEXICON_00000205;2;;;
LEXICON_00003461;;;Tambura;"Tamboura;Tamburi;Tampura;Tanburica;Tanpura";;;LEXICON_00000198;55;;;
LEXICON_00004966;;;Tamburica;;;;;9;;;
LEXICON_00003466;;;Tanbur;"Tambur;Tanbour;Tanbur baghlamah;Tanbur buzurk ;Tanbur kebyr turki";;;LEXICON_00000205;55;;;
LEXICON_00003469;;;Tandura;Tandurah;;;;0;;;
LEXICON_00003471;;;Tar;Thari;;;LEXICON_00000205;8;;;
LEXICON_00003473;;;Theorbo;Chitarrone;;;LEXICON_00000205;70;;;
LEXICON_00003475;;;Tidinit;;;;;0;;;
LEXICON_00004618;;;Tiple;;;;LEXICON_00000206;5;;;
LEXICON_00006353;;;Torbane;;;;LEXICON_00000205;1;;;
LEXICON_00003476;;;'Ud;"Aoud;Eoud;E'oud;Laud;Oud";;;LEXICON_00000205;31;;;
LEXICON_00005394;;;Ut;;;;;0;;;
LEXICON_00005395;;;Viola de cabaca;;;;LEXICON_00000205;0;;;
LEXICON_00004894;;;Vipanci vina;Bipanchi vina;;;LEXICON_00000205;4;;;
LEXICON_00005391;;;Wolgum;;;;;0;;;
LEXICON_00003482;;;Yueqin;"Dan doan;Jüekin;La ch'in;Laqin;Yüa-tjin;Yue qin;Yueh ch'in;Yue-kin";;;LEXICON_00000206;41;;;
LEXICON_00003486;;Lyres;;;;;;0;;;
LEXICON_00003487;;;Barbiton;Barbitos;;;;0;;;
LEXICON_00003489;;;Beganna;"Bagana;Bagannah;Begana;Begena";;;LEXICON_00000197;8;;;
LEXICON_00005154;;;Benebene;;;;;0;;;
LEXICON_00003493;;;Bowl lyre;;;;LEXICON_00000196;6;;;
LEXICON_00003494;;;Chirawatta;;;;LEXICON_00000196;1;;;
LEXICON_00003495;;;Crwth;;;;;18;;;
LEXICON_00006759;;;Kisir;Taar;;;LEXICON_00000196;4;;;
LEXICON_00003496;;;Kissar;;;;LEXICON_00000196;19;;;
LEXICON_00004940;;;Kithara;;;;;7;;;
LEXICON_00003497;;;Krar;;;;"LEXICON_00000196;LEXICON_00006465";10;;;
LEXICON_00003498;;;Kudu;"Bahu;Baku";;;LEXICON_00000196;3;;;
LEXICON_00003501;;;Lyre;;;;LEXICON_00000195;97;;;
LEXICON_00006146;;;Masonquo;;;;LEXICON_00000196;1;;;
LEXICON_00003502;;;Ndongo;"Endongo;Etongoli;Ntongoli";;;LEXICON_00000196;8;;;
LEXICON_00003505;;;Phorminx;;;;;0;;;
LEXICON_00005349;;;Semsemiya;;;;LEXICON_00000196;0;;;
LEXICON_00003509;;Mandolins;;;;;;0;;;
LEXICON_00004762;;;Bandolim;Bandolin;;;LEXICON_00000205;1;;;
LEXICON_00006537;;;Double mandolin;;;;LEXICON_00000205;1;;;
LEXICON_00003510;;;Mandolin;;;;;231;;;
LEXICON_00003511;;;Mandoloncello;;;;LEXICON_00000205;3;;;
LEXICON_00003512;;;Mandore;Pandurina;;;LEXICON_00000205;10;;;
LEXICON_00003514;;;Milanese mandolin;;;;LEXICON_00000205;20;;;
LEXICON_00003515;;;Neapolitan mandolin;;;;LEXICON_00000205;47;;;
LEXICON_00003516;;Monochords;;;;;;0;;;
LEXICON_00004847;;;Anandalahari;;;;LEXICON_00000223;5;;;
LEXICON_00005148;;;Babatoni;;;;;0;;;
LEXICON_00003517;;;Gopiyantra;;;;LEXICON_00000224;5;;;
LEXICON_00004935;;;Gubgubi;;;;;1;;;
LEXICON_00003518;;;Monochord;;;;;37;;;
LEXICON_00003519;;;Trumpet marine;;;;LEXICON_00000205;68;;;
LEXICON_00003521;;Musical bows;;;;;;0;;;
LEXICON_00003522;;;Adungu;;;;LEXICON_00000158;1;;;
LEXICON_00003523;;;Bagili;;;;LEXICON_00000149;2;;;
LEXICON_00003524;;;Bazombe;;;;LEXICON_00000149;1;;;
LEXICON_00003525;;;Berimbau;Urucungu;;;;11;;Brazilian portuguese;
LEXICON_00003527;;;Chipendani;;;;;0;;;
LEXICON_00003528;;;Chitende;;;;LEXICON_00000154;2;;;
LEXICON_00003529;;;Gora;Goura;;;LEXICON_00000149;1;;;
LEXICON_00003531;;;Guru;Bombo;;;;0;;;
LEXICON_00003533;;;Kalumbu;;;;;0;;;
LEXICON_00005280;;;Lesiba;;;;;1;;;
LEXICON_00003534;;;Lukombe;Lokombi;;;LEXICON_00000194;7;;;
LEXICON_00003536;;;Lusuba;;;;;0;;;
LEXICON_00003537;;;Mouth bow;;;;;9;;;
LEXICON_00003538;;;Musical bow;;;;;166;;;
LEXICON_00003539;;;Ndaludali;;;;;0;;;
LEXICON_00003540;;;Ndjembo;;;;LEXICON_00000194;3;;;
LEXICON_00003541;;;Nsambi;;;;;3;;;
LEXICON_00006315;;;Pagolo;Pangolo;;;LEXICON_00000143;1;;;
LEXICON_00003542;;;Pinak;"Pinaka;Pinaki";;;;3;;;
LEXICON_00003545;;;Pluriarc;;;;;208;;;
LEXICON_00005355;;;Sitolotolo;;;;LEXICON_00000149;1;;;
LEXICON_00003546;;;Ugubhu;"Inkohlisa;Ugubo;Ugubu;Ugumbu";;;;0;;;
LEXICON_00003551;;;Umakhweyana;;;;LEXICON_00000154;3;;;
LEXICON_00003552;;;Wambee;;;;LEXICON_00000194;9;;;
LEXICON_00003553;;;Xizambi;Zambi;;;;0;;;
LEXICON_00003555;;Others;;;;;;0;;;
LEXICON_00003556;;;Fonic;;;;LEXICON_00000193;2;;French;
LEXICON_00003557;;;Khuur;;;;;0;;;
LEXICON_00003558;;Violas;;;;;LEXICON_00006473;0;;;
LEXICON_00004967;;;Tenor viola;;;;;6;;;
LEXICON_00003559;;;Tenor violin;;;;LEXICON_00006473;11;;;
LEXICON_00003561;;;Viola;Bratche;;;LEXICON_00006473;176;;;
LEXICON_00003563;;;Violalin;;;;;2;;;
LEXICON_00003564;;Violins;;;;;LEXICON_00000206;0;;;
LEXICON_00003565;;;Bass violin;Basse de violon;;;LEXICON_00006473;8;;French;
LEXICON_00003566;;;Cane violin;Walking-stick violin;;;;15;;;
LEXICON_00003568;;;Electric violin;;;;LEXICON_00006158;2;;;
LEXICON_00003569;;;Experimental violin;;;;;15;;;
LEXICON_00003570;;;Irregular violin;;;;;8;;;
LEXICON_00003571;;;Kit;;;;LEXICON_00006473;243;;;
LEXICON_00004959;;;Pochette d'amour;;;;;2;;;
LEXICON_00003572;;;Viola arpa;;;;LEXICON_00006473;1;;;
LEXICON_00003573;;;Violin;;;;LEXICON_00006472;1226;;;
LEXICON_00003574;;;Violin d'amore;;;;;6;;;
LEXICON_00006722;;;Violino piccolo;;;;LEXICON_00006473;0;;;
LEXICON_00003575;;Violoncellos;;Cellos;;;;0;;;
LEXICON_00003576;;;Arpeggione;;;;LEXICON_00006473;3;;;
