Identifier;Level_1;Level_2;Level_3;Synonyms;YOUR LANGUAGE;Synonyms (YOUR LANGUAGE) ;H&S link;Nb of instruments;Définition;Original language;URI_DBPEDIA
LEXICON_00006787;;;Spoons;;;;LEXICON_00000008;0;;;
LEXICON_00002442;;;Toka;;;;;0;;;
LEXICON_00004665;;;Troccola;;;;LEXICON_00000017;3;;;
LEXICON_00005386;;;Va let kyot;;;;LEXICON_00000007;0;;;
LEXICON_00002443;;x;Walet-hkok;;;;;0;;Burmese;
LEXICON_00002444;;;Whip;;;;LEXICON_00000004;19;;;
LEXICON_00002445;;;Yotsudake;Yotsu-dake;;;;1;;;
LEXICON_00002447;;;Zhong;"Bo;Chung;Chuong;Tchong;Té-tchong";;;;8;;;
LEXICON_00002451;;Cymbals;;;;;LEXICON_00000010;0;;;
LEXICON_00005424;;;Bhusyah;;;;LEXICON_00000010;0;;;
LEXICON_00002452;;;Bo;Seaou-po;;;LEXICON_00000010;1;;;
LEXICON_00002454;;;Chabara;"Chegum;Hyangbal;Pal;Tongbal;Yobal";;;LEXICON_00000010;3;;;
LEXICON_00002460;;;Chap;Charp;;;LEXICON_00000010;0;;;
LEXICON_00002462;;;Ching;"Kum;Kumna;Na;Taegum";;;;4;;;
LEXICON_00002467;;;Choke cymbal;;;;LEXICON_00000010;2;;;
LEXICON_00002468;;;Chum choe;;;;;0;;;
LEXICON_00002469;;;Crash cymbal;;;;LEXICON_00000010;2;;;
LEXICON_00002470;;;Crotales;Crotale;;;;1;;;
LEXICON_00002471;;;Cymbals;;;;"LEXICON_00000008;LEXICON_00000010";203;;;
LEXICON_00004930;;;Dobachi;;;;;2;;;
LEXICON_00002472;;;Dobatsu;"Hachi;Nihoihagi;Nyoohachi";;;;1;;;
LEXICON_00005242;;;Jhalica;;;;LEXICON_00000010;4;;;
LEXICON_00005243;;;Kangsi;;;;;1;;;
LEXICON_00002475;;;Kartal;;;;LEXICON_00000010;2;;;
LEXICON_00002476;;;Kasat;Kass;;;LEXICON_00000010;2;;;
LEXICON_00005506;;;Kecer;Ketjer;;;LEXICON_00000010;0;;;
LEXICON_00004880;;;Mandira;;;;LEXICON_00000010;0;;;
LEXICON_00002478;;;Manjira;;;;;7;;;
LEXICON_00006681;;;Penzhong;;;;LEXICON_00000010;0;;;
LEXICON_00005334;;;Rincik;"Ceng-ceng;Tjé tjé";;;LEXICON_00000010;10;;;
LEXICON_00002479;;;Rol-mo;;;;;0;;;
LEXICON_00002480;;;Sajat;Sagat;;;LEXICON_00000010;4;;;
LEXICON_00002482;;;Sanj;Zinj;;;;4;;;
LEXICON_00002484;;;Sbub-chal;"Sbug-chal;Sbug-chol";;;;1;;;
LEXICON_00005351;;;Sichyah;;;;LEXICON_00000010;3;;;
LEXICON_00005489;;;Silnen;;;;;4;;;
LEXICON_00002487;;;Sil-snyan;Silnyen;;;;0;;;
LEXICON_00002488;;;Sizzle cymbal;;;;LEXICON_00000010;2;;;
LEXICON_00002489;;;Sock cymbal;;;;LEXICON_00000010;4;;;
LEXICON_00005365;;;Tah;;;;;2;;;
LEXICON_00005366;;;Tahca;;;;LEXICON_00000010;3;;;
LEXICON_00005372;;;Talam;;;;;3;;;
LEXICON_00005384;;;Than lvin;;;;LEXICON_00000010;2;;;
LEXICON_00002490;;;Ting-ting shags;"Tingsha;Ting-shags;Tin-tin-sags";;;;0;;;
LEXICON_00005639;;;Zang;;;;LEXICON_00000010;1;;;
LEXICON_00002492;;;Zil;;;;;0;;;
LEXICON_00005702;;Drum set;;;;;;0;;;
LEXICON_00005703;;;Drum set;;;;;14;;;
LEXICON_00002493;;Drums;;;;;;0;;;
LEXICON_00005138;;;Adedemma;;;;;1;;;
LEXICON_00002494;;;Adufe;;;;;1;;;
LEXICON_00002495;;;Agual;Agwal;;;;0;;;
LEXICON_00005142;;;Apentemma;;;;;1;;;
LEXICON_00005145;;;Atamo;;;;;0;;;
LEXICON_00005411;;;Atsimewu;Atsimevu;;;;12;;;
LEXICON_00004917;;;Atumpan;;;;;4;;;
LEXICON_00006120;;;Atwereba;;;;LEXICON_00005539;1;;;
LEXICON_00005146;;;Audh;;;;;3;;;
LEXICON_00006631;;;Automatic drum;;;;LEXICON_00000117;3;;;
LEXICON_00002497;;;Bajiao gu;;;;LEXICON_00000116;3;;;
LEXICON_00002498;;;Ban;"Bang;Pan";;;LEXICON_00000035;8;;;
LEXICON_00002501;;;Bangu;"Kou;Pan-ku;Xiaogu";;;LEXICON_00006441;13;;;
LEXICON_00002504;;;Barrel drum;Barrel shaped drum;;;"LEXICON_00000108;LEXICON_00006435";93;;;
LEXICON_00002506;;;Bass drum;;;;LEXICON_00000106;38;;;
LEXICON_00002507;;;Bata;;;;"LEXICON_00005562;LEXICON_00006440";3;;;
LEXICON_00004919;;;Bedug;;;;;1;;;
LEXICON_00002508;;;Bendir;"Ainza;Bandar;Bendeyr;Bendre;Bindir";;;LEXICON_00000116;10;;;
LEXICON_00006269;;;Bibliku;;;;LEXICON_00000112;0;;;
LEXICON_00002514;;;Bodhran;;;;;0;;;
LEXICON_00005416;;;Bofu;Po-fu;;;;2;;;
LEXICON_00004577;;;Bombo;;;;LEXICON_00000096;1;;;
LEXICON_00005157;;;Bommaa;;;;LEXICON_00000318;1;;;
LEXICON_00002515;;;Bongos;;;;;5;;;
LEXICON_00002516;;;Bonko;;;;;0;;;
LEXICON_00005159;;;Brekete;;;;;2;;;
LEXICON_00002517;;;Bronze drum;;;;LEXICON_00000022;11;;;
LEXICON_00004678;;;Bubanj;Boubagn;;;;1;;;
LEXICON_00002518;;;Buhai;;;;;1;;;
LEXICON_00002519;;;Burczybas;;;;;0;;Polish;
LEXICON_00005162;;;Caixa;;;;;0;;;
LEXICON_00004578;;;Caja;;;;LEXICON_00000117;14;;;
LEXICON_00002520;;;Cajon;;;;;1;;;
LEXICON_00002521;;;Cenda;"Centa;Chenda";;;;0;;Malayalam;
LEXICON_00002524;;;Changgo;Janggu;;;LEXICON_00005562;5;;;
LEXICON_00004994;;;Chaozhou-biangu;Chaozhou biangu;;;;1;;;
LEXICON_00002525;;;Chin'go;;;;;0;;;
LEXICON_00002526;;;Cholgo;;;;;0;;;
LEXICON_00002527;;;Chunggo;;;;;0;;;
LEXICON_00002528;;;Chwago;;;;;3;;;
LEXICON_00005175;;;Ciblon;;;;LEXICON_00000108;3;;;
LEXICON_00002529;;;Conga;Congas;;;;7;;;
LEXICON_00002531;;;Conical drum;;;;;383;;;
LEXICON_00005474;;;Conka;;;;;0;;;
LEXICON_00005181;;;Contra surdo;;;;LEXICON_00000105;0;;;
LEXICON_00004928;;;Cununo;;;;;1;;;
LEXICON_00002532;;;Cylindrical drum;;;;LEXICON_00000101;483;;;
LEXICON_00005691;;;Cylindrical-conical drum;Conico-cylindrical drum;;;LEXICON_00005568;383;;;
LEXICON_00005182;;;Dabadaba;;;;;1;;;
LEXICON_00006797;;;Dadabuan;;;;LEXICON_00000112;2;;;
LEXICON_00002533;;;Daf;Daff;;;LEXICON_00000117;9;;;
LEXICON_00002535;;;Dagu;;;;;2;;;
