Id;URI;Thesaurus;Instrument Family;Instrument Group;Instrument;Synonyms;URI Wikipedia;Remarks
LEXICON_00005476;http://www.mimo-db.eu/InstrumentsKeywords/5476;;;;Gentorak;;;
LEXICON_00005491;http://www.mimo-db.eu/InstrumentsKeywords/5491;;;;Ushinarashi;;;
LEXICON_00005498;http://www.mimo-db.eu/InstrumentsKeywords/5498;;;;Double bell;;http://en.wikipedia.org/wiki/Double_bell;A vérifier (voir agogô)
LEXICON_00005503;http://www.mimo-db.eu/InstrumentsKeywords/5503;;;;Wadjira;;;
LEXICON_00005508;http://www.mimo-db.eu/InstrumentsKeywords/5508;;;;Klentong;;;
LEXICON_00005655;http://www.mimo-db.eu/InstrumentsKeywords/5655;;;;Nzunzun;;;
LEXICON_00005686;http://www.mimo-db.eu/InstrumentsKeywords/5686;;;;Single bell;;;
LEXICON_00005700;http://www.mimo-db.eu/InstrumentsKeywords/5700;;;;Woodblock;Wood block;http://en.wikipedia.org/wiki/Wood_block;synonyme
LEXICON_00005728;http://www.mimo-db.eu/InstrumentsKeywords/5728;;;;Windbell;;;
LEXICON_00006268;http://www.mimo-db.eu/InstrumentsKeywords/6268;;;;Bells belt;;;
LEXICON_00006274;http://www.mimo-db.eu/InstrumentsKeywords/6274;;;;Cai tiu;;;
LEXICON_00006318;http://www.mimo-db.eu/InstrumentsKeywords/6318;;;;Resting bell;"Musical bowl;Singing bowl";http://en.wikipedia.org/wiki/Singing_bowl;synonyme
LEXICON_00006364;http://www.mimo-db.eu/InstrumentsKeywords/6364;;;;Zang;;;
LEXICON_00006622;http://www.mimo-db.eu/InstrumentsKeywords/6622;;;;Electric carillon;;http://en.wikipedia.org/wiki/Electronic_carillon;A vérifier
LEXICON_00006651;http://www.mimo-db.eu/InstrumentsKeywords/6651;;;;Gshang;;;
LEXICON_00006666;http://www.mimo-db.eu/InstrumentsKeywords/6666;;;;Ling;Fengling;;
LEXICON_00006796;http://www.mimo-db.eu/InstrumentsKeywords/6796;;;;Chung;;;
LEXICON_00002420;http://www.mimo-db.eu/InstrumentsKeywords/2420;;;Castanets;;;http://en.wikipedia.org/wiki/Castanets;
LEXICON_00002421;http://www.mimo-db.eu/InstrumentsKeywords/2421;;;;Cap ke;Cai cap ke;;
LEXICON_00002423;http://www.mimo-db.eu/InstrumentsKeywords/2423;;;;Castanets;"Castañetas;Castañolas;Castañuelas";http://en.wikipedia.org/wiki/Castanets;
LEXICON_00005244;http://www.mimo-db.eu/InstrumentsKeywords/5244;;;;Kalenang;;;
LEXICON_00005367;http://www.mimo-db.eu/InstrumentsKeywords/5367;;;;Tajeraste;;http://en.wikipedia.org/wiki/Ch%C3%A1caras;A vérifier
LEXICON_00002424;http://www.mimo-db.eu/InstrumentsKeywords/2424;;;Clappers;;;http://en.wikipedia.org/wiki/Clapper_(musical_instrument);
LEXICON_00002425;http://www.mimo-db.eu/InstrumentsKeywords/2425;;;;Bones;;http://en.wikipedia.org/wiki/Bones_(instrument);
LEXICON_00002426;http://www.mimo-db.eu/InstrumentsKeywords/2426;;;;Clappers;;http://en.wikipedia.org/wiki/Clapper_(musical_instrument);
LEXICON_00002427;http://www.mimo-db.eu/InstrumentsKeywords/2427;;;;Claquoir;;;
LEXICON_00002428;http://www.mimo-db.eu/InstrumentsKeywords/2428;;;;Gandi;;;
LEXICON_00002429;http://www.mimo-db.eu/InstrumentsKeywords/2429;;;;Khartal;Kartal;http://en.wikipedia.org/wiki/Khartal;A vérifier
LEXICON_00002430;http://www.mimo-db.eu/InstrumentsKeywords/2430;;;;Paiban;"Ban;Cha-pan;Muban;Pai-ban;Shuban;Tanban;Tchong-tou";http://en.wikipedia.org/wiki/Paiban;
LEXICON_00002433;http://www.mimo-db.eu/InstrumentsKeywords/2433;;;;Pak;;;
LEXICON_00002434;http://www.mimo-db.eu/InstrumentsKeywords/2434;;;;Scabellum;;;
LEXICON_00002435;http://www.mimo-db.eu/InstrumentsKeywords/2435;;;;Shakubyoshi;Schaku-bioschi;;
LEXICON_00002436;http://www.mimo-db.eu/InstrumentsKeywords/2436;;;;Shkashek;"Karabib;Qarqab";;
LEXICON_00002439;http://www.mimo-db.eu/InstrumentsKeywords/2439;;;;Sinh tien;Cai xinh tien;http://en.wikipedia.org/wiki/S%C3%AAnh_ti%E1%BB%81n;A vérifier
LEXICON_00002442;http://www.mimo-db.eu/InstrumentsKeywords/2442;;;;Toka;;http://en.wikipedia.org/wiki/Toka_(musical_instrument);
